nombre,direccion,codigo_postal,telefono,calificacion,numero_resenas,tipo_cocina,horario,sitio_web,coordenadas
Corazonada Café Restaurante,"Cerro De Las Mitras #1801-4, Lomas de San Isidro, 80197 Culiacán Rosales, Sin., Mexico",80197,667 229 4612,4.6,105,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']",,"{'lat': 24.7577372, 'lng': -107.4031489}"
Taqueria hacienda del valle,"Hacienda del Valle, 80197 Culiacán Rosales, Sin., Mexico",80197,667 253 4432,4.5,10,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u200912:00\u202fAM']",,"{'lat': 24.7599738, 'lng': -107.4065468}"
QILAI,"Lomas de San Isidro 465, Lomas de San Isidro, 80197 Culiacán Rosales, Sin., Mexico",80197,667 995 7196,4.8,40,"['restaurant', 'point_of_interest', 'food', 'establishment']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 3:00\u2009–\u200910:00\u202fPM', 'Thursday: 3:00\u2009–\u200910:00\u202fPM', 'Friday: 3:00\u2009–\u200910:00\u202fPM', 'Saturday: 3:00\u2009–\u200910:00\u202fPM', 'Sunday: 3:00\u2009–\u200910:00\u202fPM']",https://instagram.com/qilai.restaurant?igshid=YmMyMTA2M2Y=,"{'lat': 24.7631574, 'lng': -107.3955731}"
Delicious Park,"Profr. Natividad Báez 5848, Hacienda del Valle, 80197 Culiacán Rosales, Sin., Mexico",80197,667 271 7280,5,11,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:30\u2009–\u200911:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 5:30\u2009–\u200911:30\u202fPM', 'Thursday: 5:30\u2009–\u200911:30\u202fPM', 'Friday: 5:30\u2009–\u200911:30\u202fPM', 'Saturday: 5:30\u2009–\u200911:30\u202fPM', 'Sunday: 5:30\u2009–\u200911:30\u202fPM']",https://instagram.com/food_park_delicious?igshid=MjEwN2IyYWYwYw==,"{'lat': 24.7601466, 'lng': -107.4067407}"
La Marisqueria & Grill,"Av. Manuel J. Clouthier 5849, 80197 Culiacán Rosales, Sin., Mexico",80197,667 688 3318,4.5,270,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']",,"{'lat': 24.7482872, 'lng': -107.3950195}"
Tosticentro La Guerita,"Gral. Rosendo Rodríguez 3474, Felipe Angeles, Felipe Ángeles, 80197 Culiacán Rosales, Sin., Mexico",80197,,4.3,45,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 3:00\u2009–\u200911:30\u202fPM', 'Tuesday: 3:00\u2009–\u200911:30\u202fPM', 'Wednesday: 3:00\u2009–\u200911:30\u202fPM', 'Thursday: 3:00\u2009–\u200911:30\u202fPM', 'Friday: 3:00\u2009–\u200911:30\u202fPM', 'Saturday: 3:00\u2009–\u200911:30\u202fPM', 'Sunday: 3:00\u2009–\u200911:30\u202fPM']",,"{'lat': 24.7613374, 'lng': -107.4198706}"
"""ANTOJITOS DOÑA FLOR""","Gral. Rosendo Rodríguez 3559, Estela Ortiz de Toledo, Esthela Ortiz de Toledo, 80197 Culiacán Rosales, Sin., Mexico",80197,,4.9,11,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00\u2009–\u200911:00\u202fPM', 'Tuesday: 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u2009–\u200911:00\u202fPM']",,"{'lat': 24.7615795, 'lng': -107.4198815}"
Pipirin Perisur,"Boulevard del mundo 1045, el progreso, Perisur, 80197 Culiacán Rosales, Sin., Mexico",80197,667 648 9913,4.6,11,"['restaurant', 'point_of_interest', 'food', 'establishment']","['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",,"{'lat': 24.7509582, 'lng': -107.3955948}"
Birrieria Mia,"C. Prados Del Sol 2367, 80197 Culiacán Rosales, Sin., Mexico",80197,667 247 7550,5,2,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 7:00\u202fAM\u2009–\u200912:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200912:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200912:30\u202fPM']",,"{'lat': 24.7521634, 'lng': -107.4131755}"
Birrieria El Cadete Felipe Ángeles,"Av. Constituyentes Hilario Medina 3703, Felipe Angeles, Felipe Ángeles, 80197 Culiacán Rosales, Sin., Mexico",80197,667 458 4009,4.6,19,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20092:00\u202fPM']",,"{'lat': 24.7599165, 'lng': -107.4221907}"
